"ID_Barrio","t_uv_nom","Nombre_Final"
"001","032R","Sector Industrial Ruta 5"
"003","034R","Sector El Tabaco / Sur"
"005","036R","Sector Aldea Campesina"
"006","055R","Loteo Norte / Lircay"
"007","ABATE MOLINA","ABATE MOLINA"
"008","ARTURO PRAT","ARTURO PRAT"
"009","ASTABURUAGA","ASTABURUAGA"
"010","AURORA DE CHILE","AURORA DE CHILE"
"011","BUEN PASTOR","BUEN PASTOR"
"012","CANCHA RAYADA","CANCHA RAYADA"
"013","CARLOS TRUPP","CARLOS TRUPP"
"014","CHILE ESPANA","CHILE ESPANA"
"015","CHORRILLOS","CHORRILLOS"
"016","COSTANERA","COSTANERA"
"017","CRISTI GALLO","CRISTI GALLO"
"018","EDEN","EDEN"
"019","EL ESFUERZO","EL ESFUERZO"
"020","ESTACION","ESTACION"
"021","GENERAL URRUTIA","GENERAL URRUTIA"
"022","HERMANOS CARRERA","HERMANOS CARRERA"
"023","HOSPITAL","HOSPITAL"
"024","IGNAVIO CARRERA PINTO","IGNAVIO CARRERA PINTO"
"025","INDEPENDENCIA","INDEPENDENCIA"
"026","JOSE IGNACIO CIENFUE","JOSE IGNACIO CIENFUE"
"027","LA FLORIDA","LA FLORIDA"
"028","LA VEGA","LA VEGA"
"029","LAS BRISAS DEL CLARO","LAS BRISAS DEL CLARO"
"030","LAS HERAS","LAS HERAS"
"031","LONGITUDINAL ORIENTE","LONGITUDINAL ORIENTE"
"032","LOS MAQUIS","LOS MAQUIS"
"033","MAGISTERIO","MAGISTERIO"
"034","MANSO DE VELASCO","MANSO DE VELASCO"
"035","MAQUEHUA","MAQUEHUA"
"036","MERCADO","MERCADO"
"037","MIGUEL RAFAEL PRADO","MIGUEL RAFAEL PRADO"
"038","NAZARETH","NAZARETH"
"039","OHIGGINS","OHIGGINS"
"040","ORIENTE","ORIENTE"
"041","PASO MOYA","PASO MOYA"
"042","PIDUCO","PIDUCO"
"043","PLAZA DE ARMAS","PLAZA DE ARMAS"
"044","PORTALES","PORTALES"
"045","PROSPERIDAD","PROSPERIDAD"
"046","RENE SCHNEIDER","RENE SCHNEIDER"
"047","SAN MIGUEL","SAN MIGUEL"
"048","SANTA ANA","SANTA ANA"
"049","SEGUNDO DANIEL REBOL","SEGUNDO DANIEL REBOL"
"050","SEMINARIO","SEMINARIO"
"051","UNIVERSIDAD","UNIVERSIDAD"
"052","VAROLI","VAROLI"
"053","VILLA EL SOL","VILLA EL SOL"
"054","VILLA LA PAZ","VILLA LA PAZ"
"055","VILLA SUR","VILLA SUR"
