TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 4 TALCA_001
Start Date:,20-07-2025
Start Time:,17:39:55
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,83
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,17:39:56
,Date of Minimum:,20-07-2025
,Maximum:,0.000
,Time of Maximum:,17:39:56
,Date of Maximum:,20-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
20-07-2025,17:39:56,0.000
20-07-2025,17:39:57,0.000
20-07-2025,17:39:58,0.000
20-07-2025,17:39:59,0.000
20-07-2025,17:40:00,0.000
20-07-2025,17:40:01,0.000
20-07-2025,17:40:02,0.000
20-07-2025,17:40:03,0.000
20-07-2025,17:40:04,0.000
20-07-2025,17:40:05,0.000
20-07-2025,17:40:06,0.000
20-07-2025,17:40:07,0.000
20-07-2025,17:40:08,0.000
20-07-2025,17:40:09,0.000
20-07-2025,17:40:10,0.000
20-07-2025,17:40:11,0.000
20-07-2025,17:40:12,0.000
20-07-2025,17:40:13,0.000
20-07-2025,17:40:14,0.000
20-07-2025,17:40:15,0.000
20-07-2025,17:40:16,0.000
20-07-2025,17:40:17,0.000
20-07-2025,17:40:18,0.000
20-07-2025,17:40:19,0.000
20-07-2025,17:40:20,0.000
20-07-2025,17:40:21,0.000
20-07-2025,17:40:22,0.000
20-07-2025,17:40:23,0.000
20-07-2025,17:40:24,0.000
20-07-2025,17:40:25,0.000
20-07-2025,17:40:26,0.000
20-07-2025,17:40:27,0.000
20-07-2025,17:40:28,0.000
20-07-2025,17:40:29,0.000
20-07-2025,17:40:30,0.000
20-07-2025,17:40:31,0.000
20-07-2025,17:40:32,0.000
20-07-2025,17:40:33,0.000
20-07-2025,17:40:34,0.000
20-07-2025,17:40:35,0.000
20-07-2025,17:40:36,0.000
20-07-2025,17:40:37,0.000
20-07-2025,17:40:38,0.000
20-07-2025,17:40:39,0.000
20-07-2025,17:40:40,0.000
20-07-2025,17:40:41,0.000
20-07-2025,17:40:42,0.000
20-07-2025,17:40:43,0.000
20-07-2025,17:40:44,0.000
20-07-2025,17:40:45,0.000
20-07-2025,17:40:46,0.000
20-07-2025,17:40:47,0.000
20-07-2025,17:40:48,0.000
20-07-2025,17:40:49,0.000
20-07-2025,17:40:50,0.000
20-07-2025,17:40:51,0.000
20-07-2025,17:40:52,0.000
20-07-2025,17:40:53,0.000
20-07-2025,17:40:54,0.000
20-07-2025,17:40:55,0.000
20-07-2025,17:40:56,0.000
20-07-2025,17:40:57,0.000
20-07-2025,17:40:58,0.000
20-07-2025,17:40:59,0.000
20-07-2025,17:41:00,0.000
20-07-2025,17:41:01,0.000
20-07-2025,17:41:02,0.000
20-07-2025,17:41:03,0.000
20-07-2025,17:41:04,0.000
20-07-2025,17:41:05,0.000
20-07-2025,17:41:06,0.000
20-07-2025,17:41:07,0.000
20-07-2025,17:41:08,0.000
20-07-2025,17:41:09,0.000
20-07-2025,17:41:10,0.000
20-07-2025,17:41:11,0.000
20-07-2025,17:41:12,0.000
20-07-2025,17:41:13,0.000
20-07-2025,17:41:14,0.000
20-07-2025,17:41:15,0.000
20-07-2025,17:41:16,0.000
20-07-2025,17:41:17,0.000
20-07-2025,17:41:18,0.000

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,002
Test Abbreviation:,TEST 4 TALCA_002
Start Date:,20-07-2025
Start Time:,17:41:41
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,191
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.053
,Minimum:,0.048
,Time of Minimum:,17:43:01
,Date of Minimum:,20-07-2025
,Maximum:,0.056
,Time of Maximum:,17:42:39
,Date of Maximum:,20-07-2025

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
20-07-2025,17:41:42,0.053
20-07-2025,17:41:43,0.053
20-07-2025,17:41:44,0.052
20-07-2025,17:41:45,0.053
20-07-2025,17:41:46,0.054
20-07-2025,17:41:47,0.053
20-07-2025,17:41:48,0.053
20-07-2025,17:41:49,0.055
20-07-2025,17:41:50,0.054
20-07-2025,17:41:51,0.051
20-07-2025,17:41:52,0.051
20-07-2025,17:41:53,0.054
20-07-2025,17:41:54,0.054
20-07-2025,17:41:55,0.053
20-07-2025,17:41:56,0.052
20-07-2025,17:41:57,0.051
20-07-2025,17:41:58,0.051
20-07-2025,17:41:59,0.052
20-07-2025,17:42:00,0.051
20-07-2025,17:42:01,0.051
20-07-2025,17:42:02,0.051
20-07-2025,17:42:03,0.051
20-07-2025,17:42:04,0.053
20-07-2025,17:42:05,0.053
20-07-2025,17:42:06,0.054
20-07-2025,17:42:07,0.055
20-07-2025,17:42:08,0.053
20-07-2025,17:42:09,0.051
20-07-2025,17:42:10,0.052
20-07-2025,17:42:11,0.052
20-07-2025,17:42:12,0.052
20-07-2025,17:42:13,0.052
20-07-2025,17:42:14,0.053
20-07-2025,17:42:15,0.053
20-07-2025,17:42:16,0.054
20-07-2025,17:42:17,0.054
20-07-2025,17:42:18,0.054
20-07-2025,17:42:19,0.052
20-07-2025,17:42:20,0.051
20-07-2025,17:42:21,0.051
20-07-2025,17:42:22,0.051
20-07-2025,17:42:23,0.052
20-07-2025,17:42:24,0.053
20-07-2025,17:42:25,0.053
20-07-2025,17:42:26,0.053
20-07-2025,17:42:27,0.053
20-07-2025,17:42:28,0.053
20-07-2025,17:42:29,0.051
20-07-2025,17:42:30,0.052
20-07-2025,17:42:31,0.054
20-07-2025,17:42:32,0.054
20-07-2025,17:42:33,0.053
20-07-2025,17:42:34,0.053
20-07-2025,17:42:35,0.053
20-07-2025,17:42:36,0.053
20-07-2025,17:42:37,0.053
20-07-2025,17:42:38,0.054
20-07-2025,17:42:39,0.056
20-07-2025,17:42:40,0.054
20-07-2025,17:42:41,0.053
20-07-2025,17:42:42,0.053
20-07-2025,17:42:43,0.054
20-07-2025,17:42:44,0.053
20-07-2025,17:42:45,0.054
20-07-2025,17:42:46,0.053
20-07-2025,17:42:47,0.053
20-07-2025,17:42:48,0.053
20-07-2025,17:42:49,0.053
20-07-2025,17:42:50,0.053
20-07-2025,17:42:51,0.053
20-07-2025,17:42:52,0.056
20-07-2025,17:42:53,0.056
20-07-2025,17:42:54,0.052
20-07-2025,17:42:55,0.053
20-07-2025,17:42:56,0.053
20-07-2025,17:42:57,0.052
20-07-2025,17:42:58,0.052
20-07-2025,17:42:59,0.051
20-07-2025,17:43:00,0.051
20-07-2025,17:43:01,0.048
20-07-2025,17:43:02,0.050
20-07-2025,17:43:03,0.053
20-07-2025,17:43:04,0.054
20-07-2025,17:43:05,0.054
20-07-2025,17:43:06,0.052
