FECHA (YYMMDD);HORA (HHMM);;
250702;0100;70,7175;
250702;0200;144,275;
250702;0300;325,286;
250702;0400;82,8212;
250702;0500;29,9533;
250702;0600;60,0878;
250702;0700;56,1828;
250702;0800;38,4026;
250702;0900;292,065;
250702;1000;191,116;
250702;1100;100,307;
250702;1200;144,106;
250702;1300;228,203;
250702;1400;197,337;
250702;1500;166,17;
250702;1600;248,413;
250702;1700;196,417;
250702;1800;304,458;
250702;1900;335,725;
250702;2000;80,6239;
250702;2100;137,657;
250702;2200;135,718;
250702;2300;115,547;
250703;0000;65,3209;
250703;0100;49,0021;
250703;0200;33,1108;
250703;0300;56,3915;
250703;0400;24,7054;
250703;0500;53,3967;
250703;0600;46,4067;
250703;0700;21,6021;
250703;0800;48,2582;
250703;0900;25,324;
250703;1000;9,37805;
250703;1100;178,532;
250703;1200;216,846;
250703;1300;235,265;
250703;1400;302,997;
250703;1500;256,254;
250703;1600;206,506;
250703;1700;175,462;
250703;1800;338,216;
250703;1900;30,5035;
250703;2000;337,792;
250703;2100;27,679;
250703;2200;34,3635;
250703;2300;33,7141;
250704;0000;33,0466;
250704;0100;29,4648;
250704;0200;8,2428;
250704;0300;29,6446;
250704;0400;34,3661;
250704;0500;51,6089;
250704;0600;83,0498;
250704;0700;34,033;
250704;0800;36,3868;
250704;0900;31,8516;
250704;1000;12,7588;
250704;1100;132,582;
250704;1200;148,882;
250704;1300;121,469;
250704;1400;108,177;
250704;1500;351,362;
250704;1600;341,324;
250704;1700;352,502;
250704;1800;38,0074;
250704;1900;36,8915;
250704;2000;271,274;
250704;2100;151,858;
250704;2200;104,274;
250704;2300;26,5941;
250705;0000;18,5736;
250705;0100;71,6962;
250705;0200;44,2642;
250705;0300;62,9121;
250705;0400;41,3708;
250705;0500;21,9151;
250705;0600;51,4612;
250705;0700;32,2452;
250705;0800;29,5039;
250705;0900;349,876;
250705;1000;50,1155;
250705;1100;50,4176;
250705;1200;32,4849;
250705;1300;20,686;
250705;1400;14,4333;
250705;1500;11,2841;
250705;1600;19,9757;
250705;1700;27,6694;
250705;1800;13,2013;
250705;1900;11,6667;
250705;2000;64,5759;
250705;2100;49,6213;
250705;2200;251,685;
250705;2300;50,5355;
250706;0000;43,8912;
250706;0100;30,9944;
250706;0200;23,7288;
250706;0300;43,7316;
250706;0400;52,8833;
250706;0500;39,3049;
250706;0600;38,3177;
250706;0700;8,39191;
250706;0800;32,8155;
250706;0900;97,4127;
250706;1000;70,2198;
250706;1100;4,26757;
250706;1200;358,111;
250706;1300;352,366;
250706;1400;359,618;
250706;1500;5,6036;
250706;1600;18,7383;
250706;1700;1,7064;
250706;1800;356,162;
250706;1900;36,5036;
250706;2000;31,3845;
