FECHA (YYMMDD);HORA (HHMM);;
250702;0100;91,7417;
250702;0200;95,4083;
250702;0300;97,6667;
250702;0400;99,2;
250702;0500;99,9202;
250702;0600;99,9167;
250702;0700;99,9417;
250702;0800;99,95;
250702;0900;91,7833;
250702;1000;75,7675;
250702;1100;65,0725;
250702;1200;59,4708;
250702;1300;54,5533;
250702;1400;51,0308;
250702;1500;49,2258;
250702;1600;50,6028;
250702;1700;54,73;
250702;1800;69,8634;
250702;1900;77,9918;
250702;2000;85,8668;
250702;2100;90,4501;
250702;2200;94,3501;
250702;2300;98,8501;
250703;0000;99,9169;
250703;0100;99,9501;
250703;0200;99,9501;
250703;0300;99,9252;
250703;0400;99,9169;
250703;0500;99,9203;
250703;0600;99,9086;
250703;0700;99,9003;
250703;0800;99,9418;
250703;0900;89,0083;
250703;1000;78,0042;
250703;1100;68,2109;
250703;1200;62,3283;
250703;1300;55,4375;
250703;1400;52,1883;
250703;1500;50,8642;
250703;1600;52,0342;
250703;1700;59,0042;
250703;1800;74,4258;
250703;1900;83,7083;
250703;2000;86,9;
250703;2100;90,2917;
250703;2200;90,8417;
250703;2300;94,925;
250704;0000;96,3417;
250704;0100;99,6167;
250704;0200;99,975;
250704;0300;99,95;
250704;0400;99,95;
250704;0500;99,9302;
250704;0600;99,925;
250704;0700;99,925;
250704;0800;99,8667;
250704;0900;89,8167;
250704;1000;79,8967;
250704;1100;73,5542;
250704;1200;68,54;
250704;1300;62,8342;
250704;1400;58,1958;
250704;1500;55,9242;
250704;1600;55,4758;
250704;1700;63,7275;
250704;1800;75,5667;
250704;1900;80,405;
250704;2000;89,2917;
250704;2100;94,2833;
250704;2200;98,4417;
250704;2300;99,925;
250705;0000;94,6167;
250705;0100;94,9667;
250705;0200;97,0667;
250705;0300;99,05;
250705;0400;97,0583;
250705;0500;98,5917;
250705;0600;93,5;
250705;0700;88,6667;
250705;0800;86,125;
250705;0900;85,5833;
250705;1000;80,9883;
250705;1100;76,5074;
250705;1200;74,0934;
250705;1300;74,88;
250705;1400;79,0367;
250705;1500;86,275;
250705;1600;82,3833;
250705;1700;81,8083;
250705;1800;83,6;
250705;1900;84,1167;
250705;2000;80,8058;
250705;2100;76,9565;
250705;2200;76,3342;
250705;2300;72,7909;
250706;0000;74,5767;
250706;0100;74,6208;
250706;0200;74,3208;
250706;0300;75,5782;
250706;0400;77,3633;
250706;0500;78,235;
250706;0600;78,4675;
250706;0700;90,1667;
250706;0800;98,425;
250706;0900;99,975;
250706;1000;96,3833;
250706;1100;89,5167;
250706;1200;89,25;
250706;1300;75,2583;
250706;1400;69,5875;
250706;1500;63,5267;
250706;1600;64,2883;
250706;1700;71,9617;
250706;1800;77,5984;
250706;1900;81,275;
250706;2000;82,975;
250706;2100;88,1833;
250706;2200;88,2;
250706;2300;96,0083;
250707;0000;99,4333;
250707;0100;100;
250707;0200;99,9833;
250707;0300;99,9833;
250707;0400;99,975;
250707;0500;99,9819;
250707;0600;100;
250707;0700;99,9833;
250707;0800;99,9917;
250707;0900;99,9891;
250707;1000;100;
250707;1100;100;
250707;1200;100;
250707;1300;86,4133;
250707;1400;76,5208;
250707;1500;74,1451;
250707;1600;74,3002;
250707;1700;80,1769;
250707;1800;91,2168;
250707;1900;97,9751;
250707;2000;97,9918;
250707;2100;99,9834;
250707;2200;99,9834;
250707;2300;99,9751;
250708;0000;99,9668;
250708;0100;99,9584;
250708;0200;99,9918;
250708;0300;98,4086;
250708;0400;99,3252;
250708;0500;99,767;
250708;0600;94,2751;
250708;0700;92,2168;
250708;0800;88,7001;
250708;0900;87,0083;
250708;1000;84,5333;
250708;1100;85,0916;
250708;1200;82,7583;
250708;1300;78,7234;
250708;1400;75,8134;
250708;1500;73,25;
250708;1600;71,3035;
250708;1700;76,5601;
250708;1800;85,7417;
250708;1900;83,6;
250708;2000;85,225;
250708;2100;87,725;
250708;2200;86,0083;
250708;2300;84,4167;
250709;0000;84,6667;
250709;0100;85,0333;
250709;0200;84,8;
250709;0300;85,8917;
250709;0400;89,5917;
250709;0500;93,2417;
250709;0600;94,6667;
250709;0700;98,8167;
250709;0800;99,9501;
250709;0900;99,425;
250709;1000;94,275;
250709;1100;88,0583;
250709;1200;82,7417;
250709;1300;79,9401;
250709;1400;72,7842;
250709;1500;69,585;
250709;1600;71,4908;
250709;1700;71,6875;
250709;1800;76,7325;
250709;1900;85,675;
250709;2000;92,6833;
250709;2100;96,8;
250709;2200;99,65;
250709;2300;99,9583;
250710;0000;99,9583;
250710;0100;98,075;
250710;0200;98,1583;
250710;0300;98,2084;
250710;0400;92,3002;
250710;0500;90,6001;
250710;0600;90,1001;
250710;0700;92,3501;
250710;0800;93,3585;
250710;0900;91,2417;
250710;1000;87,3167;
250710;1100;85,9834;
250710;1200;82,8583;
250710;1300;78,9326;
250710;1400;73,6609;
250710;1500;71,5133;
250710;1600;71,4943;
250710;1700;74,2725;
250710;1800;82,0392;
250710;1900;90,7417;
250710;2000;95,5583;
250710;2100;99,95;
250710;2200;99,9417;
250710;2300;99,9167;
250711;0000;99,9167;
250711;0100;99,9;
250711;0200;99,9333;
250711;0300;99,9;
250711;0400;99,925;
250711;0500;99,9102;
250711;0600;99,9667;
250711;0700;99,9333;
250711;0800;99,9333;
250711;0900;99,9667;
250711;1000;98,8083;
250711;1100;92,8083;
250711;1200;85,9833;
250711;1300;78,015;
250711;1400;71,2032;
250711;1500;68,1884;
250711;1600;67,7717;
250711;1700;73,0558;
250711;1800;82,3151;
250711;1900;90,8083;
250711;2000;96,8917;
250711;2100;99,7333;
250711;2200;99,9667;
250711;2300;99,9667;
250712;0000;99,95;
250712;0100;99,9417;
250712;0200;99,9084;
250712;0300;99,9333;
250712;0400;99,9417;
250712;0500;99,9583;
250712;0600;99,9667;
250712;0700;99,9667;
250712;0800;99,95;
250712;0900;99,975;
250712;1000;100;
250712;1100;95,5417;
250712;1200;88,8833;
250712;1300;85,0083;
250712;1400;81,3042;
250712;1500;79,7583;
250712;1600;79,6409;
250712;1700;86,0834;
250712;1800;92,4833;
250712;1900;95,2333;
250712;2000;97,175;
250712;2100;99,275;
250712;2200;99,9917;
250712;2300;100;
250713;0000;100;
250713;0100;99,9917;
250713;0200;99,9917;
250713;0300;99,9834;
250713;0400;99,975;
250713;0500;99,9801;
250713;0600;99,9918;
250713;0700;99,975;
250713;0800;99,975;
250713;0900;99,9833;
250713;1000;99,978;
250713;1100;99,4583;
250713;1200;99,2167;
250713;1300;97,3083;
250713;1400;93,8583;
250713;1500;96,4833;
250713;1600;99,25;
250713;1700;99,95;
250713;1800;99,9667;
250713;1900;99,9833;
250713;2000;99,7667;
250713;2100;97,0417;
250713;2200;97,7083;
250713;2300;95,9417;
250714;0000;96,4167;
250714;0100;94,5917;
250714;0200;95,6833;
250714;0300;95,0667;
250714;0400;96,875;
250714;0500;95,9167;
250714;0600;95,2;
250714;0700;94,9917;
250714;0800;94,8333;
250714;0900;89,625;
250714;1000;80,3492;
250714;1100;73,5708;
250714;1200;67,3275;
250714;1300;64,6058;
250714;1400;56,6733;
250714;1500;57,0092;
250714;1600;62,2192;
250714;1700;68,7775;
250714;1800;73,8275;
250714;1900;77,6342;
250714;2000;83,8;
250714;2100;88,1083;
250714;2200;91,075;
250714;2300;94,2333;
250715;0000;99,3833;
250715;0100;99,9917;
250715;0200;99,8833;
250715;0300;99,9917;
250715;0400;100;
250715;0500;99,9902;
250715;0600;99,9834;
250715;0700;100;
250715;0800;98,5751;
250715;0900;97,5917;
250715;1000;99,9891;
250715;1100;100;
250715;1200;100;
250715;1300;99,9917;
250715;1400;99,9833;
250715;1500;97,35;
250715;1600;90,925;
250715;1700;90,3417;
250715;1800;99,9667;
250715;1900;99,9417;
250715;2000;99,9917;
250715;2100;99,9833;
250715;2200;99,975;
250715;2300;99,9667;
250716;0000;99,9751;
250716;0100;99,9834;
250716;0200;99,9918;
250716;0300;99,9918;
250716;0400;99,9834;
250716;0500;99,9902;
250716;0600;99,9584;
250716;0700;99,9584;
250716;0800;99,9703;
250716;0900;91,7583;
250716;1000;83,6208;
250716;1100;67,7775;
250716;1200;59,275;
250716;1300;55,7975;
250716;1400;51,0358;
250716;1500;46,8633;
250716;1600;48,6692;
250716;1700;54,7183;
250716;1800;58,3442;
250716;1900;60,1558;
250716;2000;61,3867;
250716;2100;69,0858;
250716;2200;80,4517;
250716;2300;77,2841;
250717;0000;82,7859;
250717;0100;81,4692;
250717;0200;82,7925;
250717;0300;85,4083;
250717;0400;86,8;
250717;0500;88,0667;
250717;0600;91,875;
250717;0700;91,0667;
250717;0800;83,5542;
250717;0900;75,5542;
250717;1000;66,1958;
250717;1100;61,6542;
250717;1200;55,9125;
250717;1300;51,6858;
250717;1400;48,6358;
250717;1500;44,9042;
250717;1600;42,505;
250717;1700;47,0042;
250717;1800;52,4958;
250717;1900;49,2933;
250717;2000;57,745;
250717;2100;65,0042;
250717;2200;70,955;
250717;2300;82,9742;
250718;0000;91,1083;
