FECHA (YYMMDD);HORA (HHMM);;
250702;0100;2,20708;
250702;0200;1,38192;
250702;0300;0,920583;
250702;0400;0,611667;
250702;0500;0,335667;
250702;0600;-0,0178334;
250702;0700;-0,199667;
250702;0800;0,156167;
250702;0900;2,39717;
250702;1000;5,60167;
250702;1100;8,29567;
250702;1200;10,0642;
250702;1300;12,1533;
250702;1400;13,4792;
250702;1500;13,9625;
250702;1600;13,9955;
250702;1700;12,8433;
250702;1800;9,75668;
250702;1900;7,94101;
250702;2000;6,55784;
250702;2100;5,63434;
250702;2200;4,52984;
250702;2300;3,60175;
250703;0000;3,006;
250703;0100;2,61068;
250703;0200;1,90775;
250703;0300;1,46333;
250703;0400;1,14383;
250703;0500;0,752584;
250703;0600;0,29;
250703;0700;-0,057;
250703;0800;0,543668;
250703;0900;3,26717;
250703;1000;6,30358;
250703;1100;9,2975;
250703;1200;11,3958;
250703;1300;13,7575;
250703;1400;15,3492;
250703;1500;16,1333;
250703;1600;15,8358;
250703;1700;13,9567;
250703;1800;10,6242;
250703;1900;8,83167;
250703;2000;7,81975;
250703;2100;7,06875;
250703;2200;6,71175;
250703;2300;5,72683;
250704;0000;5,22308;
250704;0100;4,46533;
250704;0200;3,80883;
250704;0300;3,01308;
250704;0400;2,54267;
250704;0500;1,94933;
250704;0600;1,28183;
250704;0700;1,11117;
250704;0800;1,51917;
250704;0900;4,03292;
250704;1000;7,54417;
250704;1100;9,54333;
250704;1200;11,1042;
250704;1300;12,7817;
250704;1400;14,2267;
250704;1500;14,985;
250704;1600;15,1992;
250704;1700;13,4083;
250704;1800;10,6567;
250704;1900;9,73666;
250704;2000;8,13583;
250704;2100;6,94483;
250704;2200;5,93225;
250704;2300;6,95558;
250705;0000;9,68916;
250705;0100;9,16084;
250705;0200;8,87083;
250705;0300;8,755;
250705;0400;9,04083;
250705;0500;9,00917;
250705;0600;9,99167;
250705;0700;10,6433;
250705;0800;10,9642;
250705;0900;11,1817;
250705;1000;11,9842;
250705;1100;12,75;
250705;1200;13,3442;
250705;1300;13,5117;
250705;1400;13,3967;
250705;1500;12,8283;
250705;1600;13,0683;
250705;1700;12,9825;
250705;1800;12,4942;
250705;1900;12,155;
250705;2000;12,2708;
250705;2100;12,4317;
250705;2200;12,3758;
250705;2300;13,2775;
250706;0000;13,355;
250706;0100;13,4075;
250706;0200;13,6108;
250706;0300;13,5925;
250706;0400;13,445;
250706;0500;13,2692;
250706;0600;13,2858;
250706;0700;12,5008;
250706;0800;11,9558;
250706;0900;11,9308;
250706;1000;12,7617;
250706;1100;13,8967;
250706;1200;14,2908;
250706;1300;15,6975;
250706;1400;16,7533;
250706;1500;17,6192;
250706;1600;17,3175;
250706;1700;15,8742;
250706;1800;14,8792;
250706;1900;14,0217;
250706;2000;13,3592;
250706;2100;12,0392;
250706;2200;11,9642;
250706;2300;10,5033;
250707;0000;9,18417;
250707;0100;8,45332;
250707;0200;7,45817;
250707;0300;6,77842;
250707;0400;5,74692;
250707;0500;4,98317;
250707;0600;4,596;
250707;0700;4,91242;
250707;0800;4,9595;
250707;0900;5,22792;
250707;1000;6,571;
250707;1100;8,65825;
250707;1200;10,2067;
250707;1300;13,1675;
250707;1400;15,1367;
250707;1500;15,9544;
250707;1600;15,3917;
250707;1700;13,9433;
250707;1800;11,5917;
250707;1900;10,3833;
250707;2000;11,0258;
250707;2100;11,5567;
250707;2200;11,26;
250707;2300;11,1292;
250708;0000;11,0525;
250708;0100;10,9917;
250708;0200;10,86;
250708;0300;11,0367;
250708;0400;10,8925;
250708;0500;10,5142;
250708;0600;10,5708;
250708;0700;10,4525;
250708;0800;10,4308;
250708;0900;10,3958;
250708;1000;10,1458;
250708;1100;9,84334;
250708;1200;10,1242;
250708;1300;10,77;
250708;1400;11,4125;
250708;1500;12,1358;
250708;1600;12,8167;
250708;1700;12,03;
250708;1800;10,4475;
250708;1900;10,8;
250708;2000;10,4858;
250708;2100;9,93916;
250708;2200;9,97917;
250708;2300;10,2133;
250709;0000;9,90584;
250709;0100;9,49834;
250709;0200;9,2325;
250709;0300;9,05501;
250709;0400;8,55667;
250709;0500;8,12675;
250709;0600;7,9655;
250709;0700;7,87825;
250709;0800;7,724;
250709;0900;7,676;
250709;1000;7,92125;
250709;1100;8,67332;
250709;1200;9,48334;
250709;1300;9,97417;
250709;1400;10,6683;
250709;1500;10,9167;
250709;1600;10,5958;
250709;1700;10,1017;
250709;1800;8,76167;
250709;1900;7,05883;
250709;2000;5,89717;
250709;2100;5,26742;
250709;2200;4,32467;
250709;2300;3,73017;
250710;0000;3,8365;
250710;0100;4,85217;
250710;0200;4,21458;
250710;0300;4,33958;
250710;0400;5,19059;
250710;0500;5,47951;
250710;0600;5,27225;
250710;0700;4,94976;
250710;0800;4,908;
250710;0900;4,98683;
250710;1000;5,12617;
250710;1100;5,24608;
250710;1200;5,59175;
250710;1300;6,72393;
250710;1400;8,19635;
250710;1500;8,92833;
250710;1600;9,03917;
250710;1700;8,52451;
250710;1800;6,707;
250710;1900;5,26442;
250710;2000;4,25433;
250710;2100;3,03058;
250710;2200;2,39142;
250710;2300;1,38867;
250711;0000;0,98575;
250711;0100;0,405833;
250711;0200;0,121667;
250711;0300;-0,512167;
250711;0400;-0,985084;
250711;0500;-1,27092;
250711;0600;-1,6745;
250711;0700;-1,774;
250711;0800;-1,28442;
250711;0900;0,9655;
250711;1000;3,2475;
250711;1100;5,21692;
250711;1200;6,459;
250711;1300;8,16225;
250711;1400;9,90668;
250711;1500;10,8733;
250711;1600;11,2058;
250711;1700;10,0525;
250711;1800;8,06551;
250711;1900;6,35358;
250711;2000;5,01408;
250711;2100;4,14475;
250711;2200;3,58433;
250711;2300;2,8845;
250712;0000;2,47192;
250712;0100;1,35358;
250712;0200;0,400917;
250712;0300;0,335333;
250712;0400;1,47017;
250712;0500;2,82433;
250712;0600;3,91083;
250712;0700;3,75683;
250712;0800;3,95217;
250712;0900;4,561;
250712;1000;5,3575;
