FECHA (YYMMDD);HORA (HHMM);;
250702;0100;0,191836;
250702;0200;0,0693338;
250702;0300;0,0376057;
250702;0400;0,317591;
250702;0500;0,263783;
250702;0600;0,309941;
250702;0700;0,307116;
250702;0800;0,295987;
250702;0900;0,147754;
250702;1000;0,533889;
250702;1100;0,374908;
250702;1200;0,654827;
250702;1300;0,56747;
250702;1400;0,650855;
250702;1500;0,76256;
250702;1600;0,432765;
250702;1700;0,404317;
250702;1800;0,261456;
250702;1900;0,380218;
250702;2000;0,288025;
250702;2100;0,0592391;
250702;2200;0,0560024;
250702;2300;0,107;
250703;0000;0,57392;
250703;0100;0,257934;
250703;0200;0,21502;
250703;0300;0,230278;
250703;0400;0,436728;
250703;0500;0,568924;
250703;0600;0,338892;
250703;0700;0,474862;
250703;0800;0,167473;
250703;0900;0,652719;
250703;1000;0,567837;
250703;1100;0,489155;
250703;1200;0,425289;
250703;1300;0,830911;
250703;1400;0,90019;
250703;1500;0,811205;
250703;1600;0,941055;
250703;1700;0,584842;
250703;1800;0,260763;
250703;1900;0,277712;
250703;2000;0,43236;
250703;2100;0,529255;
250703;2200;0,409618;
250703;2300;0,365022;
250704;0000;0,733766;
250704;0100;0,589891;
250704;0200;0,513452;
250704;0300;0,325524;
250704;0400;0,463049;
250704;0500;0,323966;
250704;0600;0,445918;
250704;0700;0,728657;
250704;0800;0,728536;
250704;0900;0,595391;
250704;1000;0,406503;
250704;1100;0,434765;
250704;1200;0,777079;
250704;1300;0,436845;
250704;1400;0,63857;
250704;1500;0,626009;
250704;1600;0,677515;
250704;1700;0,56187;
250704;1800;0,908599;
250704;1900;0,88114;
250704;2000;0,138348;
250704;2100;0,36145;
250704;2200;0,279521;
250704;2300;0,790725;
250705;0000;1,51191;
250705;0100;1,00828;
250705;0200;0,858081;
250705;0300;0,703932;
250705;0400;1,29627;
250705;0500;1,20816;
250705;0600;1,81828;
250705;0700;1,97211;
250705;0800;1,6303;
250705;0900;1,17695;
250705;1000;0,731272;
250705;1100;1,39697;
250705;1200;1,93194;
250705;1300;1,48854;
250705;1400;1,74402;
250705;1500;1,22863;
250705;1600;1,49081;
250705;1700;1,97166;
250705;1800;1,44885;
250705;1900;0,511611;
250705;2000;1,3245;
250705;2100;0,957097;
250705;2200;0,50123;
250705;2300;2,38368;
250706;0000;2,46315;
250706;0100;1,96308;
250706;0200;3,19372;
250706;0300;3,00328;
250706;0400;3,39255;
250706;0500;3,1354;
250706;0600;2,13217;
250706;0700;1,38092;
250706;0800;0,913271;
250706;0900;0,763481;
250706;1000;1,17211;
250706;1100;0,801156;
250706;1200;0,882429;
